epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,248.997,0.93407,0.5087,0.92796,0.89728,0.9229,0.96687,0.70219,1.01891,0.56103,0.95822,0.001226,0.001226,0.001226
45,254.532,0.93531,0.50175,0.92322,0.9235,0.92768,0.96928,0.72589,1.00867,0.51502,0.95321,0.001208,0.001208,0.001208
46,260.097,0.93579,0.51726,0.93034,0.92222,0.9238,0.97226,0.7266,1.00873,0.51736,0.95643,0.00119,0.00119,0.00119
47,265.668,0.92916,0.50328,0.92489,0.90951,0.92248,0.96982,0.72313,1.00577,0.5115,0.9536,0.001172,0.001172,0.001172
48,271.246,0.91022,0.49167,0.92526,0.89603,0.94732,0.97351,0.72634,0.9978,0.50021,0.95633,0.001154,0.001154,0.001154
49,277.019,0.91179,0.49396,0.9253,0.89765,0.94538,0.97478,0.72954,0.98211,0.51546,0.9491,0.001136,0.001136,0.001136
50,282.727,0.91228,0.49235,0.92034,0.92308,0.92212,0.9764,0.72825,0.99298,0.51722,0.95785,0.001118,0.001118,0.001118
51,288.435,0.92178,0.4972,0.92354,0.90049,0.93684,0.96766,0.72886,0.99534,0.5144,0.95523,0.0011,0.0011,0.0011
52,294.173,0.91175,0.48977,0.91951,0.92088,0.93159,0.97405,0.74043,0.98202,0.50286,0.94937,0.001082,0.001082,0.001082
53,299.706,0.90026,0.49387,0.92276,0.87328,0.94145,0.96049,0.70636,1.01295,0.56282,0.96225,0.001064,0.001064,0.001064
54,305.362,0.8937,0.48544,0.91705,0.91353,0.93703,0.97392,0.72964,0.98412,0.50942,0.94646,0.001046,0.001046,0.001046
55,310.992,0.90326,0.48323,0.91829,0.91195,0.91569,0.96887,0.72832,0.99101,0.52077,0.95028,0.001028,0.001028,0.001028
56,316.663,0.89919,0.48147,0.91756,0.9102,0.93024,0.97415,0.71938,1.02284,0.51522,0.964,0.00101,0.00101,0.00101
57,322.339,0.8948,0.48003,0.92121,0.90894,0.93751,0.96623,0.73655,0.97451,0.5102,0.94634,0.000992,0.000992,0.000992
58,327.862,0.88699,0.47926,0.91565,0.91732,0.93597,0.96455,0.72824,0.9861,0.50106,0.9547,0.000974,0.000974,0.000974
59,333.486,0.88735,0.4755,0.91998,0.92008,0.93384,0.97195,0.72324,0.98418,0.51361,0.95494,0.000956,0.000956,0.000956
60,339.022,0.89427,0.47271,0.92126,0.92756,0.91889,0.97562,0.72518,0.98549,0.53602,0.95306,0.000938,0.000938,0.000938
61,344.591,0.8843,0.46726,0.91393,0.92763,0.9317,0.9741,0.72672,0.969,0.52702,0.9475,0.00092,0.00092,0.00092
62,350.438,0.90637,0.48001,0.92455,0.93761,0.91413,0.96759,0.73231,0.98251,0.49464,0.9484,0.000902,0.000902,0.000902
63,356.174,0.89785,0.47506,0.91891,0.91653,0.91355,0.96804,0.72255,0.99525,0.53137,0.95429,0.000884,0.000884,0.000884
64,361.873,0.8937,0.47841,0.91652,0.9178,0.92945,0.97461,0.71987,0.9839,0.55578,0.95039,0.000866,0.000866,0.000866
65,367.583,0.8805,0.45865,0.91159,0.89612,0.94825,0.97065,0.73106,0.9823,0.50645,0.94827,0.000848,0.000848,0.000848
66,373.293,0.87697,0.46396,0.91739,0.92485,0.91943,0.97641,0.72335,0.99519,0.52134,0.95184,0.00083,0.00083,0.00083
67,379.043,0.88325,0.46167,0.91708,0.91848,0.91391,0.96926,0.73037,0.97823,0.50992,0.95135,0.000812,0.000812,0.000812
68,384.778,0.87732,0.45957,0.91652,0.92458,0.91889,0.97602,0.73617,0.97349,0.49139,0.94759,0.000794,0.000794,0.000794
69,390.603,0.87341,0.4553,0.90937,0.90955,0.923,0.96583,0.73121,0.97,0.4948,0.94216,0.000776,0.000776,0.000776
70,396.68,0.86198,0.4551,0.90575,0.90851,0.93259,0.96615,0.7329,0.97066,0.49986,0.94586,0.000758,0.000758,0.000758
71,402.865,0.86386,0.45505,0.91287,0.91804,0.92053,0.96767,0.73525,0.97203,0.51376,0.94333,0.00074,0.00074,0.00074
72,408.523,0.86586,0.45816,0.90847,0.89921,0.94237,0.97145,0.7233,0.9848,0.53487,0.94965,0.000722,0.000722,0.000722
73,414.413,0.86524,0.45248,0.90889,0.91794,0.93597,0.96832,0.73865,0.97275,0.49015,0.94443,0.000704,0.000704,0.000704
74,420.163,0.8617,0.44692,0.90878,0.92136,0.92529,0.97073,0.74001,0.97294,0.48859,0.94423,0.000686,0.000686,0.000686
75,425.813,0.85109,0.4494,0.90774,0.91258,0.92474,0.96939,0.7333,0.97303,0.53793,0.94811,0.000668,0.000668,0.000668
76,431.601,0.85304,0.44684,0.90229,0.92048,0.92658,0.97512,0.73967,0.97703,0.49372,0.94773,0.00065,0.00065,0.00065
77,437.143,0.85895,0.45132,0.90881,0.90417,0.93643,0.97381,0.73648,0.98184,0.49631,0.95068,0.000632,0.000632,0.000632
78,442.848,0.84846,0.44157,0.90323,0.91355,0.93609,0.97375,0.73566,0.99009,0.48957,0.95145,0.000614,0.000614,0.000614
79,448.583,0.84383,0.44564,0.90647,0.91954,0.92695,0.96928,0.73392,0.97593,0.5057,0.94874,0.000596,0.000596,0.000596
80,454.328,0.85827,0.44617,0.90761,0.90815,0.92854,0.96703,0.7344,0.98349,0.49102,0.94937,0.000578,0.000578,0.000578
81,460.018,0.84198,0.44435,0.9033,0.92374,0.93078,0.97092,0.73466,0.9825,0.49637,0.95259,0.00056,0.00056,0.00056
82,465.853,0.8463,0.43493,0.90155,0.89738,0.94344,0.96672,0.73683,0.97623,0.49963,0.95048,0.000542,0.000542,0.000542
83,471.433,0.84166,0.43623,0.90478,0.91973,0.92529,0.97035,0.73248,0.98869,0.487,0.95515,0.000524,0.000524,0.000524
84,477.143,0.83803,0.43857,0.90651,0.91867,0.91996,0.96687,0.73552,0.96863,0.50081,0.94829,0.000506,0.000506,0.000506
85,482.793,0.84437,0.43773,0.90154,0.90298,0.93597,0.97242,0.73699,0.975,0.50052,0.94823,0.000488,0.000488,0.000488
86,488.334,0.83342,0.43692,0.90011,0.91375,0.92713,0.97222,0.73992,0.97588,0.48437,0.95075,0.00047,0.00047,0.00047
87,494.048,0.83409,0.42905,0.90804,0.91812,0.93339,0.97079,0.7319,0.99039,0.48723,0.9506,0.000452,0.000452,0.000452
88,499.993,0.83269,0.43386,0.90014,0.91797,0.93157,0.97257,0.73594,0.97626,0.48957,0.9478,0.000434,0.000434,0.000434
89,505.803,0.8382,0.44108,0.89861,0.90703,0.93712,0.9725,0.73889,0.97307,0.48772,0.94653,0.000416,0.000416,0.000416
90,511.613,0.82613,0.4336,0.89892,0.93498,0.90539,0.97141,0.73266,0.97618,0.50114,0.94814,0.000398,0.000398,0.000398
91,539.633,0.80513,0.41402,0.89683,0.91197,0.9381,0.96776,0.73557,0.98636,0.49543,0.95168,0.00038,0.00038,0.00038
92,545.148,0.79636,0.4029,0.89267,0.90869,0.93276,0.96992,0.73397,0.9861,0.48143,0.95297,0.000362,0.000362,0.000362
93,550.623,0.80346,0.40461,0.89722,0.9229,0.93597,0.97051,0.73917,0.9839,0.4828,0.95007,0.000344,0.000344,0.000344
94,556.186,0.79367,0.39891,0.89121,0.93224,0.91676,0.96911,0.73341,0.9838,0.48312,0.95194,0.000326,0.000326,0.000326
95,561.613,0.789,0.39569,0.89265,0.92882,0.91915,0.97133,0.73773,0.97355,0.4835,0.9472,0.000308,0.000308,0.000308
96,567.167,0.79002,0.3909,0.89008,0.92385,0.92636,0.96968,0.73364,0.97794,0.48833,0.94962,0.00029,0.00029,0.00029
97,572.768,0.78822,0.38889,0.89343,0.9161,0.9349,0.97021,0.73518,0.98502,0.48584,0.95111,0.000272,0.000272,0.000272
98,578.853,0.78488,0.39038,0.89087,0.92222,0.92369,0.97018,0.73432,0.97429,0.48723,0.94849,0.000254,0.000254,0.000254
99,584.553,0.77811,0.38863,0.88894,0.91046,0.94407,0.96918,0.73328,0.97565,0.48925,0.94884,0.000236,0.000236,0.000236
100,589.899,0.77992,0.3876,0.89185,0.90934,0.94664,0.96989,0.73524,0.98162,0.49006,0.95031,0.000218,0.000218,0.000218
